T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible
3.0,-20.0,918.5185185185346,17.497795275581957,-19.99999999999997,48.1216,2.2957357884948326,11.401982507288652,25.0,-12.932825899891766,9.602213654993804,42.22222222222216,False
3.0,-19.0,817.7777777777751,16.510378329783716,-18.99999999999997,48.06099025779101,2.28398733984524,12.01728024042076,25.0,-12.29365991171618,8.963387490534679,39.999999999999936,False
3.0,-18.0,722.9629629629708,15.52377706362051,-17.99999999999997,47.99442431589886,2.2708076879993717,12.63133161021787,25.0,-11.654783822405498,8.324919098159928,37.777777777777715,False
3.0,-17.0,634.0740740740766,14.538157541152142,-17.0,47.92088369221392,2.255918975414789,13.243880437902337,25.0,-11.016255170515953,7.686885372656249,35.55555555555551,False
3.0,-16.0,551.1111111111056,13.553733939534961,-15.999999999999972,47.839092782777186,2.238966653544696,13.854595336076832,25.0,-10.378147786562506,7.049386926937468,33.333333333333286,False
3.0,-15.0,474.07407407407516,12.570787221094193,-14.999999999999986,47.74743030595064,2.2194911586826027,14.463040000000012,25.0,-9.740557992369958,6.412557992369961,31.111111111111068,False
3.0,-14.0,402.962962962962,11.589693164804695,-13.999999999999986,47.643801010535405,2.1968860911416246,15.068628256760098,25.0,-9.10361386059868,5.776581724492812,28.888888888888847,False
3.0,-13.0,337.7777777777734,10.610965676722884,-12.999999999999972,47.52544511124495,2.170334791962636,15.670553935860072,25.0,-8.467489451883104,5.141714697536924,26.666666666666625,False
3.0,-12.0,278.5185185185178,9.635325950523898,-11.999999999999957,47.3886471202034,2.1387111697549597,16.267677504009345,25.0,-7.832427452176473,4.508327729184805,24.444444444444404,False
3.0,-11.0,225.18518518518653,8.663817195385771,-10.999999999999986,47.22827655287041,2.100419058058129,16.85833502951354,25.0,-7.198776608213541,3.876977300255058,22.22222222222219,False
3.0,-10.0,177.77777777777857,7.698003589195027,-10.0,47.03703703703704,2.0531211085419687,17.440000000000005,25.0,-6.567056588282826,3.2485380697642996,19.999999999999975,False
3.0,-9.0,136.29629629629358,6.740333728045756,-8.999999999999986,46.804189537727034,1.9932587348695747,18.00864815657716,25.0,-5.938076859424263,2.6244673919686456,17.777777777777754,False
3.0,-8.0,100.74074074073948,5.794846582402318,-7.999999999999972,46.51329276369013,1.9151525671559462,18.557475582268985,25.0,-5.313170169461658,2.007385045494724,15.55555555555553,False
3.0,-7.0,71.111111111111,4.868644955601472,-6.999999999999979,46.138083743772086,1.80920117873211,19.07407407407408,25.0,-4.694692868716394,1.402511798757557,13.333333333333313,False
3.0,-6.0,47.40740740740702,3.97523195999961,-6.0,45.63519000781485,1.6579925761812095,19.533527696793005,25.0,-4.087225214789993,0.821919092341015,11.111111111111098,False
3.0,-5.0,29.62962962962942,3.1426968052735336,-5.0,44.936202536716415,1.4272832368673358,19.880000000000003,25.0,-3.500920288277976,0.30092028827797296,8.888888888888879,False
3.0,-4.0,17.777777777777878,2.434322477800745,-4.0,44.0,1.0450811994152653,20.000000000000004,25.0,-2.962962962962963,0.0,6.666666666666662,False
3.0,-3.0,11.851851851851851,1.987615979999813,-3.0,43.0,0.3743935211260614,20.0,25.0,-2.566001196398336,1.7763568394002505e-15,4.444444444444442,True
3.0,-2.0,11.85185185185185,1.987615979999813,-2.0,42.0,-0.6862915010152384,20.0,25.0,-2.5660011963983367,0.0,4.444444444444443,False
3.0,-1.0,17.777777777777715,2.434322477800734,-1.0,41.0,-2.0097042488125894,20.000000000000004,25.0,-2.9629629629629615,0.0,6.6666666666666625,False
3.0,0.0,29.62962962962956,3.1426968052735407,0.0,40.00000000000001,-3.4448365050101826,20.0,25.119999999999997,-3.5009202882779755,0.300920288277976,8.888888888888877,False
3.0,1.0,47.40740740740705,3.975231959999611,1.0,39.0,-4.927722784735639,20.000000000000004,25.466472303206995,-4.087225214789993,0.8219190923410153,11.111111111111104,False
3.0,2.0,71.11111111111052,4.868644955601456,1.9999999999999716,38.00000000000002,-6.43407465244565,19.999999999999986,25.92592592592592,-4.694692868716405,1.402511798757546,13.333333333333309,False
3.0,3.0,100.74074074074055,5.794846582402349,2.999999999999986,37.000000000000014,-7.953446057939502,19.999999999999993,26.442524417731022,-5.313170169461666,2.007385045494718,15.555555555555523,False
3.0,4.0,136.29629629629673,6.740333728045833,4.0,36.00000000000001,-9.480729945594158,20.000000000000007,26.991351843422844,-5.938076859424254,2.624467391968642,17.777777777777757,False
3.0,5.0,177.77777777777857,7.698003589195027,5.0,34.99999999999999,-11.013162586507008,20.000000000000014,27.559999999999995,-6.567056588282815,3.2485380697643076,19.99999999999998,False
